,industry_x,pe,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,labels_result,index,code,name,industry_y
168,54,22.21,0.11,0.09,1.56,2.41,20000630,7.26,0.43,-10.41,54.71,17.08,5.6,89629.0,3,600300,600300,维维股份,软饮料
169,62,9.3,0.99,1.8530000000000002,16.6,2.08,19960702,56.48,13.89,-15.58,11.62,17.63,4.91,12490.0,13,600729,600729,重庆百货,百货
170,41,14.71,2.7,0.131,4.11,0.94,20100618,4.13,0.33,-19.85,-4.74,59.03,8.05,21188.0,8,002435,002435,长江健康,化学制药
171,29,6.48,1.7,0.762,10.19,0.97,20180131,163.4,4.52,11.57,9.91,0.0,40.4,70831.0,0,601838,601838,成都银行,银行
172,36,25.0,0.93,0.158,4.14,1.91,20010116,17.37,2.01,-2.08,-34.35,32.42,6.14,82311.0,3,600326,600326,西藏天路,水泥
173,62,14.45,0.04,0.139,3.7,1.09,19940224,23.21,1.34,-74.19,-62.34,65.19,15.04,32846.0,8,600828,600828,茂业商业,百货
174,63,17.14,1.31,0.23800000000000002,4.03,2.02,20100528,22.25,1.8,13.57,71.68,3.8,1.09,49886.0,12,002416,002416,爱施德,电器连锁
175,46,16.39,0.6,0.312,3.86,2.66,20001018,10.08,1.78,0.5,-3.35,77.83,15.1,40028.0,8,600285,600285,羚锐制药,中成药
176,9,21.33,2.07,0.76,9.38,3.11,20160706,69.51,5.31,-0.8,23.64,27.35,10.88,42864.0,7,601966,601966,玲珑轮胎,汽车配件
177,36,8.2,4.24,0.8909999999999999,12.07,1.21,20030829,29.8,6.23,9.51,56.15,36.83,19.58,29269.0,0,600449,600449,宁夏建材,水泥
178,60,12.9,1.52,0.486,8.89,1.41,19930326,50.13,4.47,40.69,22.8,51.77,27.19,64420.0,8,600639,600639,浦东金桥,园区开发
179,64,14.63,3.13,0.78,4.89,3.91,20170926,5.49,1.06,50.8,1479.32,22.06,8.27,17051.0,12,603363,603363,傲农生物,饲料
180,3,10.53,1.89,0.36,3.89,1.66,19990618,4.57,0.76,9.1,-5.34,30.3,15.36,27188.0,3,000922,000922,佳电股份,电气设备
181,16,17.77,2.65,1.02,8.19,4.28,20170222,4.89,3.96,72.83,209.71,38.7,13.84,6874.0,6,603238,603238,诺邦股份,纺织
182,22,16.28,0.48,0.203,2.51,2.63,20070629,10.24,0.99,13.82,14.05,23.6,10.46,54840.0,1,002139,002139,拓邦股份,元器件
183,32,15.46,0.0,0.14400000000000002,3.01,1.48,20060816,17.82,1.62,-1.18,3.25,10.16,3.67,52094.0,3,002062,002062,宏润建设,建筑工程
184,50,24.92,2.55,0.22399999999999998,5.67,1.97,20040518,32.54,1.93,0.31,13.11,10.66,7.09,44024.0,12,600967,600967,内蒙一机,运输设备
